"ENTREZID","SYMBOL","87.1_CX.5461_0.1_48","87.1_VEH_0.1_48","17.3_CX.5461_0.1_48","17.3_VEH_0.1_48","84.1_CX.5461_0.1_48","84.1_VEH_0.1_48","90.1_CX.5461_0.1_48","90.1_VEH_0.1_48","75.1_CX.5461_0.1_48","75.1_VEH_0.1_48","78.1_CX.5461_0.1_48","78.1_VEH_0.1_48"
22823,"MTF2",4.454856254,4.677484235,4.229280423,4.405574451,4.400246063,4.598132435,4.419396351,4.757746159,4.680480117,4.665697145,4.678190166,4.743483423
50999,"TMED5",6.794889943,7.301180252,6.9849111,7.222164066,6.883379513,7.096219448,6.655201297,7.036985705,7.086386095,7.469145316,7.259592915,7.365270888
343099,"CCDC18",1.889116623,3.106781115,2.164477268,2.996803197,1.86952426,2.51713112,2.116862091,2.492298685,1.951576288,3.457406739,2.157985829,3.187764245
100131564,"CCDC18-AS1",3.761260035,2.879490071,4.028844103,3.649357688,4.140606672,3.998671442,3.575862722,3.032742114,3.455151139,3.097838491,3.978105827,3.65739415
1810,"DR1",5.615363529,5.943437255,5.343335301,5.522322518,5.573925399,5.500312261,5.709647493,5.819103392,5.514193797,5.587758318,5.422831605,5.494922938
54874,"FNBP1L",4.957263166,5.317129247,5.66874792,5.474618104,5.608615938,5.646766129,5.182711681,5.284244007,5.240040285,5.434517091,5.454018967,5.447416385
8412,"BCAR3",1.798700876,1.686967709,2.979858434,2.898607392,3.294661729,3.260087872,0.689623504,0.467055057,1.341328721,0.369258419,0.763391872,0.6900218
30836,"DNTTIP2",5.815388661,6.11974049,5.746353291,5.8468937,5.573925399,5.716564867,5.947723324,5.962057586,5.869667436,5.95121963,5.834232901,5.740684569
2730,"GCLM",3.651877686,4.021630991,3.313757961,3.739395004,3.273197944,3.158152163,3.351336322,3.556220401,3.552102519,3.936247643,3.32103143,3.473576145
9411,"ARHGAP29",5.721303323,6.036326359,5.069083724,5.024449074,5.034785791,5.124041571,5.356612956,5.660410279,5.844765764,6.075347839,6.014496211,6.001937175
5825,"ABCD3",6.446749843,6.745533984,6.370059816,6.513691824,6.392428973,6.436874644,6.428951414,6.530742381,6.759032893,6.892896785,6.820409001,6.819217702
2152,"F3",3.604624879,3.574896929,4.038369374,3.597332371,4.080090471,4.207017409,2.820102851,2.465833878,3.71276504,3.360625525,3.613959857,3.565446924
126969,"SLC44A3",1.464155062,1.461907915,0.541456987,0.563172896,1.232620364,1.296686977,1.521244366,1.355274877,1.445956984,1.164767852,1.676887802,1.832288264
1266,"CNN3",6.933599233,7.399035032,6.911653157,6.92064182,6.969308599,6.968782178,7.00229158,7.230190323,7.235240591,7.412734867,6.771730776,6.765347204
