"ENTREZID","SYMBOL","84.1_DOX_0.5_3","84.1_VEH_0.5_3","17.3_DOX_0.5_3","90.1_DOX_0.5_3","90.1_VEH_0.5_3","75.1_DOX_0.5_3","17.3_VEH_0.5_3","75.1_VEH_0.5_3","78.1_DOX_0.5_3","78.1_VEH_0.5_3","87.1_DOX_0.5_3","87.1_VEH_0.5_3"
100996761,NA,0.697508387,0.117644634,0.978138541,0.633126689,0.691907726,1.336230483,0.850325056,1.234411786,1.092316367,0.601310291,1.167464597,0.788179232
101060226,"NBPF19",4.821132955,4.942496542,5.100015931,4.234156157,4.320365589,4.086266205,5.187532089,4.615596281,4.656920421,5.112172211,4.578218892,4.463374427
57234,"LINC00869",1.973284166,1.834563811,1.832519104,1.584005115,1.644779724,1.726883503,1.690611527,1.589196716,2.278568023,1.709085143,1.88321423,1.819787406
440689,"H2BC18",0.53908415,0.829867521,1.64270388,1.737973767,1.592173311,1.219465484,1.535596342,1.205392151,1.425105136,1.494308878,1.139106015,1.782459655
2209,"FCGR1A",-0.586388484,-0.682104625,0.32931688,0.095668173,0.355592469,-0.169666911,-0.393007232,-0.488138173,-0.416554669,-1.001305569,0.091798839,0.245950995
8370,"H4C14",0.928114791,0.782248176,1.300935605,1.779106723,0.922457421,0.953077457,1.128668515,0.402780866,1.473806292,1.134521839,1.758266064,0.750013606
105371405,NA,1.676170404,1.463961829,2.410856944,2.435581096,1.228490804,1.963115025,1.998288567,1.371350736,2.179279521,1.605690085,2.217486029,1.394290606
8337,"H2AC18",3.055118677,3.121533108,3.44839369,3.988874266,3.800332476,2.893844816,2.917971585,2.444999496,3.249125285,2.634386912,3.981824058,3.664771465
337873,"H2BC20P",1.050633859,1.006029014,0.506980691,1.122999804,0.476620203,0.798834277,0.712358767,0.296715435,0.036751663,0.892411099,1.019745245,0.586374576
723790,"H2AC19",2.787876407,3.0327537,3.491272124,3.980081409,3.710641271,2.704076173,3.028697131,2.216835748,2.989238568,2.634386912,3.785395628,3.413284574
554313,"H4C15",0.928114791,1.370448239,1.918815095,2.314898262,1.451598456,1.888587888,1.392338625,1.145540719,2.20835172,0.801750642,2.133726846,1.490021953
8349,"H2BC21",6.980843353,7.020629053,7.373311992,7.126183224,7.017255133,7.26806346,7.236759898,7.101616726,7.331212855,7.04920987,7.234497843,7.099263691
51027,"BOLA1",2.270853591,2.436551607,2.69387364,2.846907022,3.232241816,2.502268886,2.740039705,2.187456765,2.409511595,2.496669021,2.800752455,3.338095579
9900,"SV2A",5.068374585,5.051962688,4.307976012,4.494011515,4.54803017,4.381735609,4.180777964,4.634769823,4.093223228,4.362316811,4.227201671,4.486771428
10262,"SF3B4",5.285630994,5.306690873,5.6500106,6.081745358,6.045566071,5.380406217,5.619344937,5.305801667,5.290907362,5.419007563,5.671049848,5.639016135
10903,"MTMR11",2.129727379,2.203350157,2.380765816,1.023812456,1.193603238,0.282404004,1.535596342,0.296715435,1.240407469,1.494308878,1.537038367,1.744140389
56957,"OTUD7B",4.657237218,4.619077836,4.473946042,4.503246713,4.741600809,4.875436203,4.85738662,5.193911008,4.981349479,5.128584319,4.72615653,4.921757802
11311,"VPS45",6.081791441,6.049703057,6.404909163,5.533381266,5.536147998,6.0500226,6.237752759,5.977955356,6.119519888,5.859160321,5.927803407,5.78181362
51177,"PLEKHO1",5.855371512,5.905749586,5.810991097,6.558588745,6.463091383,6.387655013,6.010093366,6.222964605,6.419034888,6.061984241,5.902719242,6.006854687
81611,"ANP32E",6.37546185,6.535920036,6.564843374,6.613633786,6.492990903,6.773195253,6.363118211,6.696913427,6.589628783,6.472486713,6.643317657,6.552061168
23632,"CA14",1.843704919,1.493832879,2.469219344,2.021197961,1.695535193,2.943775716,2.017945589,2.631087383,2.650996296,1.828707107,1.813145425,1.601390953
51107,"APH1A",6.042956311,6.196568875,6.143348921,6.615054354,6.486700155,6.112753089,6.146939293,5.990767854,6.02157204,6.011045839,6.071662819,5.97515264
79630,"C1orf54",1.59795221,1.607491549,0.561651596,1.122999804,0.691907726,0.798834277,-0.198993556,1.175776786,0.818338906,1.27594819,1.400349592,1.237614483
148523,"CIART",1.866125906,1.55178121,1.300935605,2.661364359,1.7684697,2.689516148,0.3891573,1.290756483,3.062714551,1.828707107,2.044803459,1.664306298
54460,"MRPS21",5.639698638,5.62280148,6.056788389,5.939317368,5.868877781,5.861561645,5.948687194,5.502027579,5.746045888,5.809128075,6.069785989,5.991601952
9129,"PRPF3",5.46709655,5.567690593,5.401065195,5.126411318,5.372270753,4.904094466,5.591737198,4.966343435,5.016703649,5.165411087,5.246645658,5.323698023
23248,"RPRD2",6.010614424,6.089374121,5.421532151,5.989468128,6.273562793,5.625735816,6.251310116,6.146781722,5.846551706,6.482554174,5.710130637,6.227757552
80222,"TARS2",5.670280802,5.533943844,5.838927034,5.4322512,5.602482301,5.667196135,5.87380328,5.544648045,5.502275757,5.439825029,5.161089535,5.604674164
1893,"ECM1",5.601789221,5.530345198,5.568929134,5.883829044,5.882632841,3.940171054,5.187532089,3.866106082,4.209224139,4.342353192,6.092148385,6.01793842
54507,"ADAMTSL4",8.176350015,8.013300433,8.874581057,7.844568011,7.679137371,7.916999434,8.717233361,7.84883907,7.964735799,7.965272883,8.202228083,7.889994251
4170,"MCL1",7.702744776,7.766085694,7.039502274,8.02984662,8.153730741,8.08146372,7.926860131,8.053521107,7.651384449,8.023790099,7.771426108,8.203269674
2029,"ENSA",5.964601614,6.014072836,6.025525957,6.181955385,6.144787481,6.220487823,6.210249747,6.071385383,6.101230295,5.991951125,6.069785989,6.248437961
55204,"GOLPH3L",3.890715129,4.028682563,3.020952143,3.428148376,3.61500222,3.366196101,3.94443503,3.551364031,3.612080064,3.831514468,3.715092059,4.191647216
1513,"CTSK",1.486592999,1.523097974,2.132530041,1.629698077,1.391294885,0.798834277,0.805786339,0.240607562,0.740865307,0.368458217,1.376253897,1.152396394
405,"ARNT",5.330664691,5.390461489,4.806600698,5.471990694,5.563732026,5.425034717,5.443353946,5.571904266,5.354058538,5.553590441,4.954875936,5.477599562
9869,"SETDB1",5.446785591,5.482727127,5.145466642,5.340768953,5.628838,5.225021591,5.781942401,5.439538155,5.17787043,5.460346377,5.268083443,5.676380288
29956,"CERS2",7.62517145,7.628956934,7.29883104,7.422362833,7.414750985,6.908218314,7.463796141,6.945298731,7.041775296,7.046744605,7.205303413,7.167815299
8416,"ANXA9",3.112510005,3.14995234,3.011163947,2.243216496,2.178432562,2.502268886,2.979418118,2.652747256,2.541025531,2.34440388,1.86601348,2.300980371
55793,"MINDY1",5.082805334,4.923416572,5.120646125,4.506312021,4.64805955,4.839618259,5.269765858,4.682934041,4.949418487,4.73118505,4.465681708,4.568539895
58497,"PRUNE1",5.009163306,4.977274909,4.938978551,4.487821709,5.112296392,5.235082497,5.389667419,5.388812843,5.256525258,5.229853934,4.733288302,5.072407677
54964,"C1orf56",2.889878496,2.948973771,3.059454047,3.299765726,3.097189808,2.881087326,3.210529012,2.805592698,3.054732924,2.830579288,3.201290489,3.093344062
56882,"CDC42SE1",6.640636135,6.581841517,6.057977366,6.028370173,6.278773512,5.743184346,6.545170747,6.052158827,6.142295974,6.399009867,5.997582026,6.19705708
10962,"MLLT11",7.212849168,7.198384636,7.353597428,7.249755385,7.24889427,7.880609627,7.324225992,7.765552493,7.747050054,7.612491121,7.156620399,7.311502678
126626,"GABPB2",1.163557698,1.857721845,1.617119825,0.989174453,1.228490804,0.429844718,1.451359421,1.114657373,0.572195697,1.30923996,1.195276472,1.03032782
10500,"SEMA6C",6.040494052,5.982816236,6.024309921,5.70728215,5.662714925,6.081031705,6.113068861,6.207497744,5.92088439,5.800374157,5.224884507,5.056859215
388695,"LYSMD1",3.939105723,3.872592021,3.411661697,3.988874266,4.025327446,3.82499457,3.892137757,3.662303036,3.612080064,3.82001135,3.957669545,4.092188606
79005,"SCNM1",1.774272261,1.787101799,1.81011373,2.152214923,1.904129966,1.478529186,1.874366206,1.050833662,1.473806292,1.683922744,1.86601348,1.926303659
6944,"VPS72",4.857956677,5.054470419,4.757680548,5.065370429,5.330728978,4.913522094,5.316152634,4.767264007,4.811754053,5.01966582,4.58874236,5.317186944
8394,"PIP5K1A",6.196822136,6.231339722,5.779623574,5.871995389,6.134477192,5.600664519,6.304300347,6.039882379,5.597378125,5.988101667,5.723323825,5.996704136
5710,"PSMD4",6.090149051,6.151599883,6.655604152,6.46715929,6.37436086,6.503514925,6.435249512,6.222059365,6.444457451,6.174657006,6.512636401,6.30629426
57592,"ZNF687",4.882910368,4.958652336,4.778025427,5.250421868,5.200603062,5.039421793,5.178826635,5.258906952,5.051212126,5.199102772,4.987054474,5.083960034
5298,"PI4KB",5.780622152,5.738044825,6.127580274,6.106195766,5.931092678,5.805275972,6.169085728,5.851372698,5.960939199,5.880082717,6.207598935,6.146535588
5993,"RFX5",5.712653883,5.562414359,5.662570983,5.273994281,5.318636831,5.774564176,5.640105922,5.867671667,5.890936983,6.01483464,5.629607383,5.830632457
8991,"SELENBP1",2.459613414,2.239062626,2.302671974,2.80768832,2.816788019,2.943775716,1.97836001,2.652747256,3.21372038,2.783975357,2.827656647,2.92370778
5692,"PSMB4",6.688601239,6.658846431,7.346803448,7.074972652,6.877246365,7.138718442,7.072583322,6.807258454,7.086991269,6.837333339,7.212976491,7.028786676
23126,"POGZ",6.728154104,6.725668476,6.089714856,6.189603112,6.5054907,6.154433458,6.688520488,6.623400272,6.263248957,6.702881723,5.884683661,6.233820021
57530,"CGN",2.626509301,2.76523396,2.150476054,2.949565087,2.633698886,1.544739423,1.83057482,1.855163276,2.920628966,3.023458218,3.041934691,2.365510581
7286,"TUFT1",5.29392419,5.344068528,4.006777521,4.245207037,4.189257625,4.368085982,4.072149444,4.491873124,4.627626248,4.791326496,4.089487627,4.454501792
81609,"SNX27",5.247710109,5.398379712,5.523173434,5.407871235,5.348679263,5.262393593,5.522896032,5.605613099,5.329459631,5.676682927,5.561787738,5.599317466
65005,"MRPL9",4.896589271,5.094012384,4.700967275,5.313029052,5.269228495,4.929099183,4.954939762,4.734629051,4.949418487,4.97886844,5.022417623,5.160518185
11022,"TDRKH",2.922337168,2.789522501,3.011163947,3.028443199,2.78198198,2.644933086,2.809360896,2.786124952,2.972389627,2.698610442,3.214941168,3.338095579
117145,"THEM4",3.960102428,3.99252279,3.981936422,3.935294848,4.22424917,4.177781465,3.792942317,4.024023221,4.465499729,4.558507986,4.362138783,4.492561867
6281,"S100A10",7.443275633,7.569709152,7.018891058,7.346998332,7.30411173,6.141119295,6.768301487,6.123701435,6.751455523,7.049825528,7.67317608,7.855866081
6282,"S100A11",5.790913015,5.836040556,5.682751212,5.672229284,5.399315266,4.390764139,5.263603948,4.547853811,5.584961864,5.697262973,5.937098656,5.985455418
6277,"S100A6",3.337783737,3.796735085,2.365481571,4.821393898,4.85757616,3.554730648,3.094976696,3.30690924,4.662183312,4.582534192,5.55777607,5.459975108
6275,"S100A4",3.640578631,3.309627701,4.026346961,4.006300823,4.049917642,4.74069165,3.716806738,4.590564128,3.420407823,3.526439899,5.178611477,5.10679088
140576,"S100A16",5.132205681,5.146671407,5.275856565,5.202089134,5.29002132,5.21489003,5.095708737,5.139336513,4.825892402,5.00704013,5.13798815,5.360576972
6284,"S100A13",4.397315345,4.506364766,5.081426994,4.632314219,4.356299607,5.455473053,4.746877742,4.979259012,4.787877808,4.346368077,5.272985711,5.125544416
26097,"CHTOP",5.783569896,5.933261788,5.304189585,6.05478127,6.277732872,5.833693284,6.036835591,5.975808833,5.718523508,5.84787639,5.609077301,6.147453448
23557,"SNAPIN",4.560877153,4.531784217,4.470378473,4.884008925,4.936186353,5.125771979,4.83262554,4.989934365,4.907930796,4.890894212,5.022417623,5.127406432
3608,"ILF2",7.04550829,7.059848903,7.332136281,7.490893433,7.356307985,7.297165869,7.086031608,7.046434571,7.449696955,7.157714835,7.36419816,7.231526595
65123,"INTS3",6.852674369,6.710642732,6.57567577,6.272057186,6.464921223,6.163680799,6.545170747,6.314986741,6.37082869,6.399009867,6.28243675,6.329934795
11000,"SLC27A3",2.613315481,2.813408893,2.511492178,3.256729691,3.179728147,3.231972589,2.348071771,3.539786106,3.414182659,3.337669009,2.854068285,2.711711519
57459,"GATAD2B",5.615088388,5.890391211,4.969626879,5.371351774,5.667490196,5.117637788,5.777624652,5.929977984,5.014647803,6.05095569,5.162851337,5.57768954
9909,"DENND4B",5.883120584,5.867755779,5.979835654,6.485914602,6.339876913,6.189779778,5.940985234,6.155342516,6.076806272,6.044792092,6.031727363,5.74469053
200186,"CRTC2",4.571149216,4.487929834,4.498675017,4.732569417,4.689340766,4.177781465,4.454026088,4.253983964,4.435078201,4.512797721,4.747446945,4.518335032
27173,"SLC39A1",6.391007791,6.338112499,6.178757194,6.83885048,6.724468589,6.176789306,6.264741257,6.097286958,6.19589777,6.239776766,6.502932332,6.488286921
148327,"CREB3L4",2.727928831,3.072887122,2.511492178,3.189668416,3.331860735,2.85522884,2.235044349,3.333975437,3.070652262,2.982769466,2.72645405,2.897759811
10899,"JTB",5.968492565,6.012783909,5.936534687,6.107205595,5.983094123,5.964925315,6.001479461,5.629022449,6.103166471,5.849291718,5.939156159,5.958513611
