"ENTREZID","SYMBOL","87.1_DOX_0.1_48","87.1_VEH_0.1_48","17.3_DOX_0.1_48","17.3_VEH_0.1_48","84.1_DOX_0.1_48","84.1_VEH_0.1_48","90.1_DOX_0.1_48","90.1_VEH_0.1_48","75.1_DOX_0.1_48","75.1_VEH_0.1_48","78.1_DOX_0.1_48","78.1_VEH_0.1_48"
25875,"LETMD1",5.273591683,5.214251742,5.246964988,5.073742471,5.371586145,5.210615275,4.882243686,5.068158153,4.753800419,5.108694554,4.790473064,5.10772364
81566,"CSRNP2",6.102797139,5.611452519,5.650390634,5.471993995,5.700155142,5.635429904,6.059407456,5.948980244,6.279634194,5.386164086,6.183931418,5.635802505
7024,"TFCP2",4.30785473,4.394507663,5.075232163,5.201209038,5.033103599,5.2055137,5.094054663,5.269018145,4.891620835,5.174707951,4.879249053,5.064292628
5463,"POU6F1",2.068214985,1.806873979,1.589535764,1.166818062,1.89396001,1.808315942,2.286907074,2.29595978,2.037108278,1.491668915,2.193682104,2.256506777
9802,"DAZAP2",6.52367558,6.288031515,5.852542569,5.707725315,5.864949577,5.744972676,6.454602357,6.556053046,6.668848493,5.913050434,6.160506224,5.711488151
11226,"GALNT6",2.40457221,3.114548722,1.956514595,1.738129246,2.346779869,3.470353923,2.286907074,2.556411639,2.274018732,3.129515087,2.29103307,2.409784715
9498,"SLC4A8",3.218157164,3.457651004,1.308486214,2.284310437,1.713926118,2.731054229,2.856013263,3.218575429,3.197728829,3.367283555,3.243576817,3.058817851
6334,"SCN8A",2.327545887,1.825924088,2.622310814,1.9030562,1.476236295,1.543065656,1.909298317,1.17097021,2.240008536,2.017034086,2.94766185,2.435984704
401720,"FIGNL2",0.067149194,1.686967709,1.589535764,1.806378674,1.869575998,1.296686977,1.865475929,2.699570137,1.369018233,2.672583965,1.599887865,3.355003449
105369971,"FIGNL2-DT",-0.61177591,-0.936782117,-0.186580526,-0.977500586,-0.34189653,-0.833090936,-0.079015553,0.104949917,0.364065748,0.200562482,-0.065775456,0.854457352
91,"ACVR1B",6.357879209,6.070672267,6.261477848,6.168706333,6.216282914,6.283127791,6.343190026,6.153514186,6.95423227,6.320621492,6.99823246,6.792850694
160622,"TAMALIN",-0.232739181,0.340853835,0.72555486,0.942563992,0.980007401,1.134364248,1.267640499,1.439289368,0.700536154,0.612833112,-0.148469834,-0.028699934
3164,"NR4A1",5.048664654,4.09806009,4.054660765,3.672399269,4.403075522,4.186450378,4.895922567,4.587149633,5.027419857,3.64443594,5.145345496,4.287783112
60673,"ATG101",5.138380301,4.744093888,4.657528542,4.483204904,4.630515294,4.366359142,5.028504725,4.986734447,5.081235833,4.259799959,4.765282331,4.507536093
144501,"KRT80",3.448678265,3.075285592,4.465335861,4.03794294,3.881813053,3.444604434,3.580167123,3.059537114,4.482816003,4.208814146,3.7847762,3.187764245
3855,"KRT7",6.165000942,6.097376185,7.068776522,6.37520366,6.66368806,6.418253153,7.136419328,6.00978202,7.19681851,6.500973223,6.943136558,6.917212586
3856,"KRT8",10.27190158,10.32435768,9.611874572,9.469730932,9.852560911,9.501115106,10.11618813,9.997676473,10.48479693,9.71304012,11.00290745,10.27738624
