"ENTREZID","SYMBOL","17.3_CX.5461_0.5_3","84.1_CX.5461_0.5_3","84.1_VEH_0.5_3","90.1_CX.5461_0.5_3","90.1_VEH_0.5_3","75.1_CX.5461_0.5_3","17.3_VEH_0.5_3","75.1_VEH_0.5_3","78.1_CX.5461_0.5_3","78.1_VEH_0.5_3","87.1_CX.5461_0.5_3","87.1_VEH_0.5_3"
1185,"CLCN6",6.158442073,6.103412523,6.117228599,6.047715881,6.081790663,5.818763919,6.046438433,5.86070893,5.895246501,5.880082717,5.768684346,5.55157802
4878,"NPPA",13.10097978,13.03920188,12.92872524,12.68064879,12.37737204,11.98272607,13.51707948,11.71751979,11.69794171,11.78774922,12.58729452,12.46644296
4879,"NPPB",10.32613137,11.08648834,11.09529369,11.1456134,11.14783435,10.21995529,11.01347372,10.08605935,10.10231701,10.19591196,10.4947265,10.68334304
90231,"KIAA2013",6.619787101,7.03774504,6.751399558,6.964759041,7.164145513,6.729373902,6.832845087,6.632285927,6.858005352,6.689511228,6.890721013,6.885408537
5351,"PLOD1",8.625668836,9.301596543,9.041731966,8.947529845,9.113197902,8.372952783,8.856803863,8.225756323,8.736005383,8.562061545,9.172372292,9.076805276
9927,"MFN2",8.866903945,8.645891932,8.673725935,8.941990952,9.035137493,8.945767811,8.881827519,8.958451012,8.928019487,8.909236957,9.024440123,9.022057734
60672,"MIIP",3.846011244,4.305116733,4.169521771,4.873637902,4.8879002,4.250562761,4.236372694,4.040548355,4.672057024,4.616177769,4.804248084,4.81950702
55187,"VPS13D",6.632150731,6.227750034,6.443277108,6.022004519,6.184196916,6.410526464,6.557815736,6.634328714,6.46936272,6.458644148,6.422112812,6.368232262
9249,"DHRS3",2.938328507,3.226153973,3.14995234,3.197496313,3.29941277,4.081145679,2.775116619,4.040548355,4.299078714,4.176361287,3.434289669,3.394851496
126755,"LRRC38",0.162912111,-0.819779313,-0.977586097,-0.482152002,-1.185268565,-1.714568217,0.850325056,-0.804952538,0.362828745,0.090651715,0.94052176,1.122833818
10630,"PDPN",6.62639422,5.979292597,6.034540583,6.064605699,5.798063725,6.334465646,6.541779948,6.296185985,6.876424173,6.70053121,6.41189611,6.426108216
7799,"PRDM2",6.159581337,5.731727595,5.761257216,5.924925588,5.874395552,5.799382427,5.845204314,5.852543037,6.042005063,6.058317417,5.783390461,5.832916462
23254,"KAZN",2.895208332,3.114976647,3.14995234,2.990865156,2.999577407,3.077150351,3.496311952,3.522243116,3.800058771,3.993885349,3.428063919,3.48474829
55092,"TMEM51",3.443824072,3.829441539,3.778648344,3.70188429,3.64759146,3.208344251,3.341108972,3.185852246,3.723540164,3.608966226,4.071651479,3.852083772
79180,"EFHD2",2.969843384,3.799791445,3.383292695,4.031360483,4.300008601,3.412632528,3.085692584,3.393079299,3.272546283,3.468677256,4.039341706,4.277999239
842,"CASP9",4.239891209,4.120766212,4.008130942,3.92439471,4.171438359,4.469107273,4.446792607,4.166347541,4.400867507,4.338327103,4.099340882,4.230280307
23341,"DNAJC16",6.365145165,5.992458423,6.114827706,5.575271325,5.548280956,5.467359821,6.191979303,5.778124699,6.070970888,5.910230263,5.658660837,5.601998301
84301,"DDI2",2.72095463,2.454871844,2.050943557,2.544749894,2.086339514,2.707370934,2.235044349,2.674086743,2.718030437,2.783975357,2.49648604,2.287720591
6248,"RSC1A1",2.189562305,1.436420279,1.880514014,2.289580079,1.925549722,2.208875813,2.017945589,2.231303892,2.058013162,2.227369174,1.971149001,1.891664749
23207,"PLEKHM2",6.979809012,6.998477645,6.776679745,7.101393766,7.118375515,7.094207743,7.139727037,7.031011218,7.114952339,7.213181134,7.159945628,7.176384531
284723,"SLC25A34",1.371101791,1.860713059,1.738025104,0.632784439,1.193603238,0.011063428,1.451359421,0.240607562,0.111512895,0.011954661,0.975094968,0.788179232
54751,"FBLIM1",6.924588052,7.57541404,7.37178261,7.611599377,7.501103685,6.869167915,7.171339661,6.837717405,7.299953207,7.416856499,7.634973087,7.670035804
440567,"UQCRHL",5.183121269,4.895983027,4.928893789,5.523855272,5.446382994,5.008583745,5.185360645,4.970661487,4.509030665,4.681198931,4.816216143,4.986792576
729614,"SPEN-AS1",3.509631805,3.402213229,3.476003487,3.625890786,3.67946077,3.927747459,3.5377528,3.852131611,3.2878114,3.385277388,3.587391493,4.001696285
23013,"SPEN",6.636248507,6.650339925,6.501412827,6.725545324,6.658039998,6.551581664,6.601627443,6.779222965,6.745721696,6.647013144,6.344076829,6.094180488
7709,"ZBTB17",4.996813265,4.893177838,4.876001023,4.78905866,5.180699073,4.891430433,5.331943799,4.799177034,4.805318346,4.749492183,4.818597887,4.864856912
27129,"HSPB7",10.32321129,9.76989147,9.732575673,10.69143681,10.94256784,10.95924986,10.66876921,11.12531522,10.504838,10.71455039,10.40143473,10.71553481
1187,"CLCNKA",1.978546906,1.63753669,2.148067126,1.75991233,1.967458151,1.751799608,2.408893364,1.655068483,1.718259163,1.494308878,1.511058007,1.557869479
