"ENTREZID","SYMBOL","17.3_DOX_0.5_24","87.1_DOX_0.5_24","87.1_VEH_0.5_24","17.3_VEH_0.5_24","84.1_DOX_0.5_24","84.1_VEH_0.5_24","90.1_DOX_0.5_24","90.1_VEH_0.5_24","75.1_DOX_0.5_24","75.1_VEH_0.5_24","78.1_DOX_0.5_24","78.1_VEH_0.5_24"
284001,"CCDC57",2.704873324,2.161903624,3.15215282,3.367040035,2.750931719,4.004382116,2.249058453,3.28516458,2.906846785,3.519451543,2.89911968,2.712440403
9123,"SLC16A3",7.014876503,7.874532563,8.176747627,6.933366619,7.446492613,7.068811272,7.881745614,8.652711526,6.097454357,5.898633324,6.359556658,6.43671616
1453,"CSNK1D",8.155090297,7.950564726,7.622710217,7.357862295,8.041574679,7.413636402,8.114708465,7.609961152,7.221543847,7.545982177,7.573022611,7.635864972
79701,"OGFOD3",5.136802495,4.929425072,5.567208869,5.799739909,4.801962753,5.803682148,4.79683193,5.677786087,5.828464792,5.827359803,5.293916019,5.780294063
284004,"HEXD",3.596538996,3.890244808,3.855669948,4.072871364,4.324996028,4.627141911,4.291434591,4.350327114,3.525822978,4.086331153,3.621929749,3.878789992
79415,"CYBC1",5.817884947,6.245778646,5.392529786,5.186922448,6.289901728,5.617875489,6.224202326,5.417881829,4.508272192,5.289487924,4.739318491,5.434003727
26502,"NARF",7.935211168,7.640412865,6.165678616,6.134628657,7.464347046,5.488927213,7.640852993,6.315080947,7.133334318,6.152997874,6.910516437,5.799753652
3607,"FOXK2",6.45666619,6.580724252,6.196140837,6.301546391,6.304207561,6.039940404,6.562190446,6.438861167,5.054846829,6.344674234,5.908005701,6.345082644
56270,"WDR45B",6.745773106,7.113369874,6.939544544,6.700844994,6.604238474,6.13901345,6.943912531,6.932126742,6.757414521,6.570562953,6.513301095,6.421543358
10966,"RAB40B",5.13434153,3.58196972,4.095085201,3.87993433,3.526227919,3.52744186,3.68540189,3.656681988,4.825183256,4.225181001,4.906739616,4.213265515
79672,"FN3KRP",3.827354178,3.625648626,4.668202481,4.271914227,3.38723421,4.004382116,3.702679208,4.627464023,3.671405178,4.483294312,3.675926805,4.328759387
64122,"FN3K",2.636957508,3.78341799,5.380096764,5.229275152,3.476564043,4.427811796,3.996852,5.618542389,2.983207477,4.784589428,2.11421741,4.615864786
6904,"TBCD",6.404517263,6.711892999,6.544892596,6.322411254,6.51040566,6.367926577,6.566128988,6.389578987,7.289175266,6.718954245,7.197234565,6.463108499
146712,"B3GNTL1",0.625716067,0.613749965,2.190427705,2.02207718,0.684904106,1.742416911,0.973641564,2.112142903,1.414788902,2.430637616,0.060577701,2.261554301
284207,"METRNL",6.124788226,6.376965622,6.074095911,5.891026808,6.361031019,6.220450451,6.495189296,6.488130836,4.597735252,5.773330701,4.853062718,5.95782598
727758,"ROCK1P1",3.156813162,2.917986517,3.137454155,2.932913572,3.002252054,2.660454534,2.895366209,2.824990614,3.095589486,3.171377674,3.148654738,2.758629883
9097,"USP14",5.924281746,6.36251653,6.582683144,6.717568237,6.281662821,6.592710485,6.234138214,6.3904431,5.717880866,6.672479108,6.074725257,6.5778514
9984,"THOC1",4.015626413,3.466611063,4.575826558,4.595151205,3.42512938,4.445515811,3.595768304,4.82447575,4.416831261,4.62290712,4.088031136,4.366533594
81035,"COLEC12",4.3569655,5.645981566,6.008969915,3.898579955,4.918134566,6.226607257,5.254793,5.652075718,5.201333575,4.512904965,4.797311285,4.970082735
27098,"CLUL1",1.215685581,1.713131458,0.449335723,-2.110867114,1.557910204,0.348372339,1.217509494,0.443221834,1.506355347,1.131588817,1.382923478,0.290821254
494514,"TYMSOS",2.022003202,4.346918498,1.723703494,0.818504871,3.154391159,0.286850412,3.667915153,1.301437212,1.282893037,1.276738467,1.382923478,1.05400774
7298,"TYMS",6.248279201,6.705546609,5.244356629,4.966057381,6.355153912,4.324442147,6.831912713,5.214314303,6.300829036,5.344870776,6.271692203,4.955284412
55556,"ENOSF1",3.827354178,4.333810644,4.901399913,4.733130391,3.678325604,4.373357661,4.176594744,4.796063483,4.590778854,4.857953939,4.397522707,4.278126176
7525,"YES1",6.892791438,6.629142373,5.259708139,4.890447193,6.455614246,4.793976707,6.467661043,4.961033299,5.967877943,5.075975826,6.340178828,5.13455885
